paper,subject,trial_number,trial_looking_time,age_in_days
brandone_2009,brandone_2009.1.1_successfulreaching10.54,4,4.53,307.1
brandone_2009,brandone_2009.1.1_successfulreaching10.54,5,2.47,307.1
brandone_2009,brandone_2009.1.1_successfulreaching10.54,6,2.05,307.1
brandone_2009,brandone_2009.1.1_successfulreaching10.52,1,7.62,283.1
brandone_2009,brandone_2009.1.1_successfulreaching10.52,2,2.6,283.1
brandone_2009,brandone_2009.1.1_successfulreaching10.52,3,2.53,283.1
brandone_2009,brandone_2009.1.1_successfulreaching10.52,4,9.4,283.1
brandone_2009,brandone_2009.1.1_successfulreaching10.52,5,2.27,283.1
brandone_2009,brandone_2009.1.1_successfulreaching10.52,6,2.53,283.1
brandone_2009,brandone_2009.1.1_successfulreaching10.52,7,5.5,283.1
brandone_2009,brandone_2009.1.1_successfulreaching10.52,8,3.08,283.1
brandone_2009,brandone_2009.1.1_successfulreaching10.52,9,2.33,283.1
brandone_2009,brandone_2009.1.1_successfulreaching10.46,1,12.98,283.1
brandone_2009,brandone_2009.1.1_successfulreaching10.46,2,2.48,283.1
brandone_2009,brandone_2009.1.1_successfulreaching10.46,3,2.08,283.1
brandone_2009,brandone_2009.1.1_successfulreaching10.46,4,2.08,283.1
brandone_2009,brandone_2009.1.1_successfulreaching10.46,5,13.08,283.1
brandone_2009,brandone_2009.1.1_successfulreaching10.46,6,2.78,283.1
brandone_2009,brandone_2009.1.1_successfulreaching10.46,7,2.2,283.1
brandone_2009,brandone_2009.1.1_successfulreaching10.33,1,5.23,277
brandone_2009,brandone_2009.1.1_successfulreaching10.33,2,2.93,277
brandone_2009,brandone_2009.1.1_successfulreaching10.33,3,6.82,277
brandone_2009,brandone_2009.1.1_successfulreaching10.33,4,3.37,277
brandone_2009,brandone_2009.1.1_successfulreaching10.33,5,2.17,277
brandone_2009,brandone_2009.1.1_successfulreaching10.33,6,4.67,277
brandone_2009,brandone_2009.1.1_successfulreaching10.33,7,5.7,277
brandone_2009,brandone_2009.1.1_successfulreaching10.33,8,2.48,277
brandone_2009,brandone_2009.1.1_successfulreaching10.33,9,11.5,277
brandone_2009,brandone_2009.1.1_successfulreaching10.74,1,7.78,308.4
brandone_2009,brandone_2009.1.1_successfulreaching10.74,2,2.8,308.4
brandone_2009,brandone_2009.1.1_successfulreaching10.74,3,9.98,308.4
brandone_2009,brandone_2009.1.1_successfulreaching10.74,4,2.6,308.4
brandone_2009,brandone_2009.1.1_successfulreaching10.74,5,7.37,308.4
brandone_2009,brandone_2009.1.1_successfulreaching10.74,6,2.13,308.4
brandone_2009,brandone_2009.1.1_successfulreaching10.74,7,8.35,308.4
brandone_2009,brandone_2009.1.1_successfulreaching10.74,8,4.27,308.4
brandone_2009,brandone_2009.1.1_successfulreaching10.74,9,3.55,308.4
brandone_2009,brandone_2009.1.1_successfulreaching10.43,1,5.48,281.3
brandone_2009,brandone_2009.1.1_successfulreaching10.43,2,12.62,281.3
brandone_2009,brandone_2009.1.1_successfulreaching10.43,3,3.02,281.3
brandone_2009,brandone_2009.1.1_successfulreaching10.43,4,2.4,281.3
brandone_2009,brandone_2009.1.1_successfulreaching10.43,5,12.33,281.3
brandone_2009,brandone_2009.1.1_successfulreaching10.43,6,2.28,281.3
brandone_2009,brandone_2009.1.1_successfulreaching10.43,7,4.82,281.3
brandone_2009,brandone_2009.1.1_successfulreaching10.43,8,4.13,281.3
brandone_2009,brandone_2009.1.1_successfulreaching10.43,9,4,281.3
brandone_2009,brandone_2009.1.1_successfulreaching10.30,1,11.77,281
brandone_2009,brandone_2009.1.1_successfulreaching10.30,2,2.95,281
brandone_2009,brandone_2009.1.1_successfulreaching10.30,3,5.17,281
brandone_2009,brandone_2009.1.1_successfulreaching10.30,4,11.8,281
brandone_2009,brandone_2009.1.1_successfulreaching10.30,5,2.62,281
brandone_2009,brandone_2009.1.1_successfulreaching10.30,6,3.02,281
brandone_2009,brandone_2009.1.1_successfulreaching10.44,1,2.33,279.7
brandone_2009,brandone_2009.1.1_successfulreaching10.44,2,5.12,279.7
brandone_2009,brandone_2009.1.1_successfulreaching10.44,3,2.45,279.7
brandone_2009,brandone_2009.1.1_successfulreaching10.44,4,12.13,279.7
brandone_2009,brandone_2009.1.1_successfulreaching10.44,5,11.28,279.7
brandone_2009,brandone_2009.1.1_successfulreaching10.44,6,11.67,279.7
brandone_2009,brandone_2009.1.1_successfulreaching10.44,7,10.15,279.7
brandone_2009,brandone_2009.1.1_successfulreaching10.44,8,2.05,279.7
brandone_2009,brandone_2009.1.1_successfulreaching10.44,9,9.93,279.7
brandone_2009,brandone_2009.1.1_successfulreaching10.75,1,11.7,308.1
brandone_2009,brandone_2009.1.1_successfulreaching10.75,2,13.07,308.1
brandone_2009,brandone_2009.1.1_successfulreaching10.75,3,10.72,308.1
brandone_2009,brandone_2009.1.1_successfulreaching10.75,4,9.17,308.1
brandone_2009,brandone_2009.1.1_successfulreaching10.75,5,2.47,308.1
brandone_2009,brandone_2009.1.1_successfulreaching10.22,1,12.9,280
brandone_2009,brandone_2009.1.1_successfulreaching10.22,2,6.33,280
brandone_2009,brandone_2009.1.1_successfulreaching10.22,3,7.5,280
brandone_2009,brandone_2009.1.1_successfulreaching10.22,4,2.4,280
brandone_2009,brandone_2009.1.1_successfulreaching10.22,5,11.45,280
brandone_2009,brandone_2009.1.1_successfulreaching10.22,6,10.42,280
brandone_2009,brandone_2009.1.1_successfulreaching10.22,7,9.12,280
brandone_2009,brandone_2009.1.1_successfulreaching10.22,8,9.25,280
brandone_2009,brandone_2009.1.1_successfulreaching10.22,9,8.82,280
brandone_2009,brandone_2009.1.1_successfulreaching10.32,1,11.9,275.8
brandone_2009,brandone_2009.1.1_successfulreaching10.32,2,11.67,275.8
brandone_2009,brandone_2009.1.1_successfulreaching10.32,3,10.93,275.8
