subject,trial_number,trial_type,trial_looking_time,agedays,complexity
gerson_2014b.1.1_observational.13,7,deviant,6.72,119.6,complex
gerson_2014b.1.1_observational.11,7,deviant,17.69,100.5,complex
gerson_2014b.1.1_observational.18,7,deviant,9.99,97.4,complex
gerson_2014b.1.1_observational.28,7,deviant,1.21,111.7,complex
gerson_2014b.1.1_observational.40,7,deviant,53.13,95.3,complex
gerson_2014b.1.1_observational.5,7,deviant,4.94,92.2,complex
gerson_2014b.1.1_observational.22,7,deviant,1.47,119.6,complex
gerson_2014b.1.1_observational.2,7,deviant,4.07,111.7,complex
gerson_2014b.1.1_observational.24,7,deviant,37.74,98.3,complex
gerson_2014b.1.1_observational.14,7,deviant,19.24,96.5,complex
gerson_2014b.1.1_observational.34,7,deviant,25.79,99.5,complex
gerson_2014b.1.1_observational.26,7,deviant,19.34,113.5,complex
gerson_2014b.1.1_observational.35,7,deviant,2.45,114.8,complex
gerson_2014b.1.1_observational.23,7,deviant,6.12,95.3,complex
gerson_2014b.1.1_observational.20,7,deviant,2.77,93.5,complex
gerson_2014b.1.1_observational.7,7,deviant,8.6,97.4,complex
gerson_2014b.1.1_observational.36,7,deviant,6.38,113.5,complex
gerson_2014b.1.1_observational.9,7,deviant,6.67,95.3,complex
gerson_2014b.1.1_observational.38,7,deviant,7.06,104.4,complex
gerson_2014b.2.2.105,7,deviant,1.24,121.8,complex
gerson_2014b.2.2.125,7,deviant,2.18,109.6,complex
gerson_2014b.2.2.97,7,deviant,4.02,118.7,complex
gerson_2014b.2.2.118,7,deviant,2.38,115.7,complex
gerson_2014b.2.2.46,7,deviant,5.51,122.7,complex
gerson_2014b.2.2.38,7,deviant,0.83,110.5,complex
gerson_2014b.2.2.22,7,deviant,1.37,116.6,complex
gerson_2014b.2.2.115,7,deviant,4.82,109.6,complex
gerson_2014b.2.2.106,7,deviant,7.39,113.5,complex
gerson_2014b.2.2.40,7,deviant,2.45,107.5,complex
gerson_2014b.2.2.123,7,deviant,1.21,112.6,complex
gerson_2014b.2.2.99,7,deviant,2.14,106.5,complex
gerson_2014b.2.2.110,7,deviant,7.41,118.7,complex
gerson_2014b.2.2.107,7,deviant,0.71,118.7,complex
gerson_2014b.2.2.129,7,deviant,1.05,111.7,complex
gerson_2014b.2.2.132,7,deviant,1.06,121.8,complex
gerson_2014b.2.2.131,7,deviant,1.3,108.7,complex
gerson_2014b.2.2.29,7,deviant,7.47,109.6,complex
gerson_2014b.2.2.122,7,deviant,2.52,114.8,complex
