subject,dishab_trial_num,dishab_diff,agedays,complexity,sd_volatility,mad_volatility,cv_volatility,range_volatility,mad_robust_volatility,garch_volatility,decay_rate,decay_rates_random,group,age_in_months,age
brandone_2009.1.1_failedreaching8.816,11,-0.5959834321062976,248.6,complex,2.7789886249817175,2.34,0.39418278368535004,7.300000000000001,2.1999999999999997,2.2062926345561786,-0.32507445200246615,-0.0539429298184491,infants,NA,NA
brandone_2009.1.1_failedreaching8.827,11,0.16579225484274418,251.6,complex,2.4964196584531035,1.9900000000000002,0.34624405803787844,7.4,2.05,1.8947139359779086,-0.3267476933209653,-0.05366487545256366,infants,NA,NA
brandone_2009.1.1_failedreaching8.817,11,0.22054276961415242,231.3,complex,2.1611725212640165,1.664,0.29686435731648575,6.2,1.9999999999999991,1.560971975796228,-0.3289645792548371,-0.0481995969661263,infants,NA,NA
brandone_2009.1.1_failedreaching8.806,11,1.0908301482260547,257.7,complex,3.5125172992851974,2.96,0.40843224410292994,10.3,2.5,2.745833479628774,-0.2996609499631628,-0.06040561712217837,infants,NA,NA
brandone_2009.1.1_failedreaching8.802,11,-0.007272759329080003,256.7,complex,3.635702591430346,2.8499999999999996,0.38473043295559217,11.299999999999999,1.3500000000000005,2.98821566585676,-0.28216301795668997,-0.0492212816419058,infants,NA,NA
brandone_2009.1.1_failedreaching8.804,6,0.5332984796180491,244.5,complex,6.96476848143569,5.232,0.7362334546972187,17.200000000000003,3.9000000000000004,NA,-0.3381291403701385,-0.09460260416339501,infants,NA,NA
brandone_2009.1.1_failedreaching8.824,10,1.16141318990714,242.5,complex,5.650319558318016,4.476543209876543,0.5940756544960532,14.9,4.6,5.825898793648714,-0.28382198905944894,-0.08910758118658785,infants,NA,NA
brandone_2009.1.1_failedreaching8.813,11,1.2302901126433095,252.7,complex,3.2799898373826304,2.09,0.310899510652382,12.7,1.1500000000000004,NA,-0.2562317431151894,-0.07157357173581216,infants,NA,NA
brandone_2009.1.1_failedreaching8.812,11,-0.05651221026334241,252.7,complex,2.437758533297887,2.012,0.22868278923995186,7.3999999999999995,1.25,1.8849548926961341,-0.2569278935864901,-0.06657514842685039,infants,NA,NA
brandone_2009.1.1_failedreaching8.811,7,0.058840500022933506,228.3,complex,6.9684048868207045,5.5,0.6296751403753649,17.3,6.4,NA,-0.3030357405845965,-0.11305242943982691,infants,NA,NA
brandone_2009.1.1_failedreaching8.808,11,0,237.4,complex,3.2680269276736382,2.38,0.2817264592822102,11.399999999999999,1.6500000000000004,2.9652428764324053,-0.24101889216726202,0.0016210546029003792,infants,NA,NA
brandone_2009.1.1_failedreaching8.805,8,-0.7817005779013904,242.5,complex,6.339257880555931,5.493877551020408,0.5301649362472105,15.700000000000001,3.799999999999999,5.257857659759748,-0.27169875185446607,-0.0986138657731079,infants,NA,NA
brandone_2009.1.1_failedreaching8.818,9,0.9684287398132712,248.6,complex,5.645209726586148,4.09375,0.4458211037777807,16.3,3.450000000000002,4.705674504992243,-0.24825627286830798,-0.10528540555334731,infants,NA,NA
brandone_2009.1.1_failedreaching8.819,11,0.44573900724610427,246.6,complex,7.064653801378617,5.988,0.47286839366657407,18.8,4.4,6.201970905188866,-0.17561124656233773,-0.08890301664963533,infants,NA,NA
brandone_2009.1.1_failedreaching8.809,11,-0.8913241091436941,236.4,complex,8.485045668704442,6.420000000000001,0.4979486894779603,27,6.250000000000001,7.099017089036129,-0.13640878557847685,0.04076748082441595,infants,NA,NA
brandone_2009.1.1_failedreaching8.823,11,0.09662683568907138,237.4,complex,7.921061937784745,5.933999999999998,0.45237361152397176,22.799999999999997,2.8999999999999995,NA,-0.12354134298253103,0.02839778520082395,infants,NA,NA
brandone_2009.1.1_failedreaching8.814,10,0.07522342123758752,240.5,complex,8.055708810802711,7.286419753086419,0.4349212915250414,21.4,4.199999999999999,7.08811681000283,-0.1506149197899076,-0.11839077392786702,infants,NA,NA
brandone_2009.1.1_failedreaching8.820,11,0.33190254093114735,240.5,complex,9.39113056736692,7.5600000000000005,0.48159643935214974,26.6,5.85,8.00515776028288,-0.10481323474321945,-0.00860201895792452,infants,NA,NA
brandone_2009.1.1_failedreaching8.825,9,-0.33986782562235107,236.4,complex,13.549459662394552,9.9125,0.6939544001226404,39.4,8,10.447741141133296,-0.16703724439392478,-0.17405883225479996,infants,NA,NA
brandone_2009.1.1_failedreaching10.318,10,0.9273405680607401,295.3,complex,1.735015209667563,1.2962962962962963,0.3726762980192856,5.8,0.40000000000000036,NA,-0.3694243413590371,-0.048893996304690504,infants,NA,NA
brandone_2009.1.1_failedreaching10.316,11,-0.11551288712184427,296.3,complex,2.8257742301889586,2.0700000000000003,0.47492003868721994,8,0.9499999999999997,2.1483325636613966,-0.35467871889605057,-0.033616322842181454,infants,NA,NA
